cif,formula,grupo_espacial,sitios,elementos,predicho_como,valor_salida_red
1008870,Os,194,1,1,No_perovskita,1.9
1008871,Ir3.52Os0.48,225,1,2,No_perovskita,1.9
1010068,Cl2,138,1,1,No_perovskita,1.9
1010091,I,64,1,1,No_perovskita,1.9
1010096,Br,64,1,1,No_perovskita,1.9
1010148,Ne,225,1,1,No_perovskita,1.9
1010325,P,64,1,1,No_perovskita,1.9
1010490,N2,198,1,1,No_perovskita,1.9
1011098,Te,152,1,1,No_perovskita,1.9
1011103,Pt,225,1,1,No_perovskita,1.9
1011104,Pd,225,1,1,No_perovskita,1.9
1011119,Pb,225,1,1,No_perovskita,1.9
1011346,SbAs,166,1,2,No_perovskita,1.9
1100108,Fe,229,1,1,No_perovskita,1.9
1100136,Ag,225,1,1,No_perovskita,1.9
1100138,Au,225,1,1,No_perovskita,1.9
1502689,Al,225,1,1,No_perovskita,1.9
1506411,V,229,1,1,No_perovskita,1.9
1508973,In0.222Ag0.204Sb4.584Te0.99,166,1,4,No_perovskita,1.9
1508995,Zn1.5Ag0.5,194,1,2,No_perovskita,1.9
1508998,Cd1.88Ag2.12,63,1,2,No_perovskita,1.9
1509008,Zn1.39Ag0.61,194,1,2,No_perovskita,1.9
1509011,Al0.7Ag1.3,194,1,2,No_perovskita,1.9
1509028,In0.6Ag1.4,194,1,2,No_perovskita,1.9
1509032,Al0.5Ag1.5,229,1,2,No_perovskita,1.9
1509033,Tl0.6Ag3Bi0.4,225,1,3,No_perovskita,1.9
1509034,Cd0.4In0.6Ag3,225,1,3,No_perovskita,1.9
1509035,Ga0.5Ag1.5,194,1,2,No_perovskita,1.9
1509036,In0.5Ag1.5,194,1,2,No_perovskita,1.9
1509038,Al0.8Ag3.2,225,1,2,No_perovskita,1.9
1509041,Ag1.6Bi0.4,194,1,2,No_perovskita,1.9
1509043,Ag1.6Ge0.4,194,1,2,No_perovskita,1.9
1509045,Mg0.8Ag3.2,225,1,2,No_perovskita,1.9
1509046,Ag0.816Pt3.184,225,1,2,No_perovskita,1.9
1509047,Ag1.6Sn0.4,194,1,2,No_perovskita,1.9
1509051,Ag1.72Sb0.28,194,1,2,No_perovskita,1.9
1509056,Ag3.64Pt0.36,225,1,2,No_perovskita,1.9
1509057,Er0.2Ag3.8,225,1,2,No_perovskita,1.9
1509060,Tm0.16Ag3.84,225,1,2,No_perovskita,1.9
1509062,Ce0.06Ag3.94,225,1,2,No_perovskita,1.9
1509065,Cu1.44Ag0.72Pd0.36Au1.48,225,1,4,No_perovskita,1.9
1509066,Al3.808Ag0.192,225,1,2,No_perovskita,1.9
1509069,Mn3.8Ag0.2,225,1,2,No_perovskita,1.9
1509077,AgPd2Au,225,1,3,No_perovskita,1.9
1509079,Cu3.96Ag0.04,225,1,2,No_perovskita,1.9
1509087,Cd1.9Ag0.1,194,1,2,No_perovskita,1.9
1509088,Fe1.4Ag0.6,229,1,2,No_perovskita,1.9
1509090,Mn0.2Zn1.5Ag0.3,194,1,3,No_perovskita,1.9
1509097,Mg1.948Ag0.052,194,1,2,No_perovskita,1.9
1509105,Ti1.86Ag0.14,194,1,2,No_perovskita,1.9
1509111,Cd1.58Ag0.42,194,1,2,No_perovskita,1.9
1509112,Fe2.4Ag1.6,225,1,2,No_perovskita,1.9
1509119,Ag0.396Pd3.604,225,1,2,No_perovskita,1.9
1509121,Cd1.02Ag0.98,229,1,2,No_perovskita,1.9
1509122,Cd1.01Ag0.99,194,1,2,No_perovskita,1.9
1509126,Cd1.5Ag0.5,194,1,2,No_perovskita,1.9
1509138,Po,221,1,1,No_perovskita,1.9
1509139,Ra,229,1,1,No_perovskita,1.9
1509145,Ag,194,1,1,No_perovskita,1.9
1509170,Zn0.5Cd0.5Ag1,229,1,3,No_perovskita,1.9
1509173,CdAg,229,1,2,No_perovskita,1.9
1509174,CdAg,194,1,2,No_perovskita,1.9
1509205,AgAu,225,1,2,No_perovskita,1.9
1509510,Ag1.96Pd2.04,225,1,2,No_perovskita,1.9
1509515,AgPt,225,1,2,No_perovskita,1.9
1509568,ZnAg,229,1,2,No_perovskita,1.9
1509579,Ag1.1Hg0.9,194,1,2,No_perovskita,1.9
1509582,Al2.8Ag1.2,225,1,2,No_perovskita,1.9
1509589,Al0.666Ag1.334,194,1,2,No_perovskita,1.9
1509598,Ag1.5Ge0.5,194,1,2,No_perovskita,1.9
1509604,Mn0.1Ag1.6Sn0.3,194,1,3,No_perovskita,1.9
1509605,Si0.4Ag1.6,194,1,2,No_perovskita,1.9
1509611,Ag1.7Sb0.3,194,1,2,No_perovskita,1.9
1509616,Ag1.96Sn0.08Pd1.96,225,1,3,No_perovskita,1.9
1509735,Cd1.6Ag2.4,225,1,2,No_perovskita,1.9
1509746,Cd0.988In0.2Ag2.812,225,1,3,No_perovskita,1.9
1509747,Ag2.8Hg1.2,225,1,2,No_perovskita,1.9
1509748,Mn1.2Ag2.8,225,1,2,No_perovskita,1.9
1509826,In0.6Ag3.4,225,1,2,No_perovskita,1.9
1509827,Mn0.648Ag3.352,225,1,2,No_perovskita,1.9
1509828,Ag3.48Sn0.52,225,1,2,No_perovskita,1.9
1509831,Ga0.464Ag3.536,225,1,2,No_perovskita,1.9
1509832,Al0.22Ag3.56Sn0.22,225,1,3,No_perovskita,1.9
1509833,La0.4Ag3.6,225,1,2,No_perovskita,1.9
1509835,Ag3.6Sn0.4,225,1,2,No_perovskita,1.9
1509837,Al0.18Ag3.64Ge0.18,225,1,3,No_perovskita,1.9
1509838,Sc0.36Ag3.64,225,1,2,No_perovskita,1.9
1509839,Ag3.68Sb0.32,225,1,2,No_perovskita,1.9
1509840,Ag3.68Sn0.32,225,1,2,No_perovskita,1.9
1509841,Tl0.32Ag3.68,225,1,2,No_perovskita,1.9
1509842,Ag3.7Sb0.3,225,1,2,No_perovskita,1.9
1509844,Ag3.72As0.28,225,1,2,No_perovskita,1.9
1509846,Er0.24Ag3.76,225,1,2,No_perovskita,1.9
1509847,Gd0.24Ag3.76,225,1,2,No_perovskita,1.9
1509848,Lu0.18Ag3.82,225,1,2,No_perovskita,1.9
1509851,Tb0.2Ag3.8,225,1,2,No_perovskita,1.9
1509853,Ag3.84Sb0.16,225,1,2,No_perovskita,1.9
1509854,Cu0.12Ag3.88,225,1,2,No_perovskita,1.9
1509855,Nd0.12Ag3.88,225,1,2,No_perovskita,1.9
1509857,Ag3.88Pb0.12,225,1,2,No_perovskita,1.9
1509858,Pr0.1Ag3.9,225,1,2,No_perovskita,1.9
1509859,Ag3.9Bi0.1,225,1,2,No_perovskita,1.9
1509860,Y0.08Ag3.92,225,1,2,No_perovskita,1.9
1509862,Ag3.984Bi0.016,225,1,2,No_perovskita,1.9
1509864,Ag3.98Pb0.02,225,1,2,No_perovskita,1.9
1509865,Sm0.02Ag3.98,225,1,2,No_perovskita,1.9
1509866,Tb0.032Ag3.968,225,1,2,No_perovskita,1.9
1509867,Yb0.04Ag3.96,225,1,2,No_perovskita,1.9
1509868,Eu0.012Ag3.988,225,1,2,No_perovskita,1.9
1509962,CdAg3,225,1,2,No_perovskita,1.9
1510049,In0.76Ag3.24,225,1,2,No_perovskita,1.9
1510051,In0.7Ag3.3,225,1,2,No_perovskita,1.9
1510053,Ag3.46Ge0.54,225,1,2,No_perovskita,1.9
1510055,Fe1.9Au0.1,229,1,2,No_perovskita,1.9
1510067,Zn1.76Au0.24,194,1,2,No_perovskita,1.9
1510093,Fe0.06Te0.659Au0.281,221,1,3,No_perovskita,1.9
1510106,Mn0.02Te0.686Au0.294,221,1,3,No_perovskita,1.9
1510112,CuAu,225,1,2,No_perovskita,1.9
1510116,Nb1.4Au0.6,229,1,2,No_perovskita,1.9
1510133,V2.8Au1.2,225,1,2,No_perovskita,1.9
1510142,Cd1.94Au0.06,194,1,2,No_perovskita,1.9
1510153,Fe3.648Au0.352,225,1,2,No_perovskita,1.9
1510193,Pd3.6Au0.4,225,1,2,No_perovskita,1.9
1510211,Cd1.5Au0.5,139,1,2,No_perovskita,1.9
1510218,Fe0.04Cu1.96Au2,225,1,3,No_perovskita,1.9
1510258,Nb1.5Au0.5,229,1,2,No_perovskita,1.9
1510259,NiAu,225,1,2,No_perovskita,1.9
1510274,PdAu,225,1,2,No_perovskita,1.9
1510278,PtAu,225,1,2,No_perovskita,1.9
1510313,TiAu,194,1,2,No_perovskita,1.9
1510335,V1.92Au2.08,225,1,2,No_perovskita,1.9
1510338,Pd1.8Au2.2,225,1,2,No_perovskita,1.9
1510341,Cd0.666Au1.334,194,1,2,No_perovskita,1.9
1510342,Ge0.56Au1.44,194,1,2,No_perovskita,1.9
1510347,In0.4Au1.6,194,1,2,No_perovskita,1.9
1510350,Fe0.08Sn0.28Au1.64,194,1,3,No_perovskita,1.9
1510351,Mn0.08Sn0.28Au1.64,194,1,3,No_perovskita,1.9
1510354,Sn0.22Au1.78,194,1,2,No_perovskita,1.9
1510383,In0.4Cu0.24Au1.36,194,1,3,No_perovskita,1.9
1510411,Zn1.892Au0.108,194,1,2,No_perovskita,1.9
1510430,Cu0.8Au3.2,225,1,2,No_perovskita,1.9
1510448,Nb0.76Au3.24,225,1,2,No_perovskita,1.9
1510464,Sn0.3Au1.7,194,1,2,No_perovskita,1.9
1510473,V0.6Au3.4,225,1,2,No_perovskita,1.9
1510479,Cr1.2Au2.8,225,1,2,No_perovskita,1.9
1510502,Cu3.88Au0.12,225,1,2,No_perovskita,1.9
1510511,Zr0.3Au3.7,225,1,2,No_perovskita,1.9
1510524,Mn0.752Au3.248,225,1,2,No_perovskita,1.9
1510525,Hg0.6Au3.4,225,1,2,No_perovskita,1.9
1510526,Co0.36Au3.64,225,1,2,No_perovskita,1.9
1510527,Ga0.4Au3.6,225,1,2,No_perovskita,1.9
1510528,In0.4Au3.6,225,1,2,No_perovskita,1.9
1510529,In0.32Au3.68,225,1,2,No_perovskita,1.9
1510532,Ge0.1Au3.9,225,1,2,No_perovskita,1.9
1510533,Dy0.084Au3.916,225,1,2,No_perovskita,1.9
1510538,Lu0.24Au3.76,225,1,2,No_perovskita,1.9
1510546,Sn0.24Au3.76,225,1,2,No_perovskita,1.9
1510557,Er0.22Au3.78,225,1,2,No_perovskita,1.9
1510597,Cu3.2Au0.8,225,1,2,No_perovskita,1.9
1510608,Os1Ir2.2Au0.8,225,1,3,No_perovskita,1.9
1511051,Nd0.164Fe1.648Si0.07B0.118,229,1,4,No_perovskita,1.9
1511091,Fe1.82B0.18,229,1,2,No_perovskita,1.9
1511122,Ce0.098Fe1.658B0.244,229,1,3,No_perovskita,1.9
1511128,Dy0.098Fe1.658B0.244,229,1,3,No_perovskita,1.9
1511136,Er0.098Fe1.658B0.244,229,1,3,No_perovskita,1.9
1511147,Ho0.098Fe1.658B0.244,229,1,3,No_perovskita,1.9
1511156,Tb0.098Fe1.658B0.244,229,1,3,No_perovskita,1.9
1511165,Y0.098Fe1.658B0.244,229,1,3,No_perovskita,1.9
1511276,Ce0.174Fe1.74B0.086,229,1,3,No_perovskita,1.9
1511363,Dy0.174Fe1.74B0.086,229,1,3,No_perovskita,1.9
1511437,Gd0.174Fe1.74B0.086,229,1,3,No_perovskita,1.9
1511445,Ho0.174Fe1.74B0.086,229,1,3,No_perovskita,1.9
1511454,Tb0.174Fe1.74B0.086,229,1,3,No_perovskita,1.9
1511462,Y0.174Fe1.74B0.086,229,1,3,No_perovskita,1.9
1512489,Ar,225,1,1,No_perovskita,1.9
1512490,As,166,1,1,No_perovskita,1.9
1512493,Ba,229,1,1,No_perovskita,1.9
1512494,Be,194,1,1,No_perovskita,1.9
1512498,Ca,225,1,1,No_perovskita,1.9
1512499,Cd,194,1,1,No_perovskita,1.9
1512500,Cl2,64,1,1,No_perovskita,1.9
1512501,Co,194,1,1,No_perovskita,1.9
1512502,Cr,229,1,1,No_perovskita,1.9
1512503,Cs,229,1,1,No_perovskita,1.9
1512504,Cu,225,1,1,No_perovskita,1.9
1512505,F2,15,1,1,No_perovskita,1.9
1512506,Ga,64,1,1,No_perovskita,1.9
1512507,Ge,227,1,1,No_perovskita,1.9
1512508,H2,194,1,1,No_perovskita,1.9
1512509,He,194,1,1,No_perovskita,1.9
1512510,Hf,194,1,1,No_perovskita,1.9
1512511,Hg,229,1,1,No_perovskita,1.9
1512513,In,139,1,1,No_perovskita,1.9
1512514,Ir,225,1,1,No_perovskita,1.9
1512515,K,229,1,1,No_perovskita,1.9
1512516,Kr,225,1,1,No_perovskita,1.9
1512518,Lu,194,1,1,No_perovskita,1.9
1512519,Mg,194,1,1,No_perovskita,1.9
1512521,Mo,229,1,1,No_perovskita,1.9
1512522,N2,205,1,1,No_perovskita,1.9
1512524,Nb,229,1,1,No_perovskita,1.9
1512526,Ni,225,1,1,No_perovskita,1.9
1512527,O2,12,1,1,No_perovskita,1.9
1512533,Rb,229,1,1,No_perovskita,1.9
1512534,Re,194,1,1,No_perovskita,1.9
1512535,Rh,225,1,1,No_perovskita,1.9
1512536,Rn,225,1,1,No_perovskita,1.9
1512537,Ru,194,1,1,No_perovskita,1.9
1512538,Sb,166,1,1,No_perovskita,1.9
1512539,Sc,194,1,1,No_perovskita,1.9
1512540,Se,152,1,1,No_perovskita,1.9
1512541,Si,227,1,1,No_perovskita,1.9
1512542,Sn,227,1,1,No_perovskita,1.9
1512543,Sr,225,1,1,No_perovskita,1.9
1512544,Ta,229,1,1,No_perovskita,1.9
1512545,Tc,194,1,1,No_perovskita,1.9
1512547,Ti,194,1,1,No_perovskita,1.9
1512548,Tl,194,1,1,No_perovskita,1.9
1512550,W,229,1,1,No_perovskita,1.9
1512551,Xe,225,1,1,No_perovskita,1.9
1512552,Y,194,1,1,No_perovskita,1.9
1512553,Zn,194,1,1,No_perovskita,1.9
1512554,Zr,194,1,1,No_perovskita,1.9
1521321,Ba,65,1,1,No_perovskita,1.9
1521747,Sn1.48Pb0.52,194,1,2,No_perovskita,1.9
1521749,Sn1.84Pd0.16,194,1,2,No_perovskita,1.9
1521758,Li1.8Mg0.2,229,1,2,No_perovskita,1.9
1522012,Nb1.4Pt2.6,225,1,2,No_perovskita,1.9
1522079,Re1.6Mo0.4,194,1,2,No_perovskita,1.9
1522081,U1.8Os0.2,229,1,2,No_perovskita,1.9
1522085,Sn0.68Pd3.32,225,1,2,No_perovskita,1.9
1522087,Fe1.9W0.1,229,1,2,No_perovskita,1.9
1522093,Ho1.7Th0.3,194,1,2,No_perovskita,1.9
1522095,V1Ni1.5Pd1.5,225,1,3,No_perovskita,1.9
1522164,V0.5Ni1.5,139,1,2,No_perovskita,1.9
1522166,VNi3,225,1,2,No_perovskita,1.9
1522172,Ni3.2Ru0.8,225,1,2,No_perovskita,1.9
1522298,Hf1.92Zr0.08,194,1,2,No_perovskita,1.9
1522300,HfTa,229,1,2,No_perovskita,1.9
1522308,Ta0.552Pd3.448,225,1,2,No_perovskita,1.9
1522312,Hf0.1V1.9,229,1,2,No_perovskita,1.9
1522329,Pu1.85Hf0.15,194,1,2,No_perovskita,1.9
1522341,Sb0.28Rh3.72,225,1,2,No_perovskita,1.9
1522349,Pu3.956Sc0.044,225,1,2,No_perovskita,1.9
1522361,Sn3.94Pb0.06,141,1,2,No_perovskita,1.9
1522371,LiMg,229,1,2,No_perovskita,1.9
1522380,NiMo,194,1,2,No_perovskita,1.9
1522381,NbNi,194,1,2,No_perovskita,1.9
1522383,Sm0.4Pd3.6,225,1,2,No_perovskita,1.9
1522385,Gd0.4Pd3.6,225,1,2,No_perovskita,1.9
1522388,Ho0.48Pd3.52,225,1,2,No_perovskita,1.9
1522393,Mg1.94Zn0.06,194,1,2,No_perovskita,1.9
1522394,Th3.72Pa0.28,225,1,2,No_perovskita,1.9
1522396,Zn1.96Hg0.04,194,1,2,No_perovskita,1.9
1522401,La0.4Gd1.6,194,1,2,No_perovskita,1.9
1522404,Ti0.368V3.312Fe0.32,225,1,3,No_perovskita,1.9
1522405,Ti0.36V1.44Fe0.2,229,1,3,No_perovskita,1.9
1522409,In1.6Hg6.4,70,1,2,No_perovskita,1.9
1522418,VPt3,225,1,2,No_perovskita,1.9
1522441,PuNp,229,1,2,No_perovskita,1.9
1522473,Gd0.54Y0.95Ho0.51,194,1,3,No_perovskita,1.9
1522474,PuZr,225,1,2,No_perovskita,1.9
1522476,Pu0.2Zr1.8,194,1,2,No_perovskita,1.9
1522477,Pu3.68Sc0.32,225,1,2,No_perovskita,1.9
1522478,Pu1.84Sc0.16,229,1,2,No_perovskita,1.9
1522479,Pu1.84U0.16,229,1,2,No_perovskita,1.9
1522480,Pu1.6Zr0.4,229,1,2,No_perovskita,1.9
1522481,Pu1.84Hf0.16,229,1,2,No_perovskita,1.9
1522491,Fe1.92Ni0.06Sb0.02,229,1,3,No_perovskita,1.9
1522496,Ti1.7Mn0.3,229,1,2,No_perovskita,1.9
1522497,ReMo3,225,1,2,No_perovskita,1.9
1522498,Ti1.948Nb0.052,194,1,2,No_perovskita,1.9
1522499,Yb3.838Mg0.162,225,1,2,No_perovskita,1.9
1522500,Yb0.024Mg1.976,194,1,2,No_perovskita,1.9
1522509,V1.25Ga0.75,194,1,2,No_perovskita,1.9
1522515,Hf0.4Pt3.6,225,1,2,No_perovskita,1.9
1522516,Mo1.73Ir0.27,229,1,2,No_perovskita,1.9
1522517,Mo0.88Ir3.12,225,1,2,No_perovskita,1.9
1522523,Lu1.5Mg0.5,229,1,2,No_perovskita,1.9
1522524,Tb1.5Mg0.5,229,1,2,No_perovskita,1.9
1522525,Tm1.5Mg0.5,229,1,2,No_perovskita,1.9
1522526,Gd,229,1,1,No_perovskita,1.9
1522528,Gd1.5Mg0.5,229,1,2,No_perovskita,1.9
1522529,Tb,229,1,1,No_perovskita,1.9
1522531,Ho1.5Mg0.5,229,1,2,No_perovskita,1.9
1522532,Hf0.86Zr1.14,194,1,2,No_perovskita,1.9
1522533,Fe3Pt,225,1,2,No_perovskita,1.9
1522534,Fe1.5Pt0.5,229,1,2,No_perovskita,1.9
1522535,Fe3Ni0.5Pt0.5,225,1,3,No_perovskita,1.9
1522537,Ni3.64Mo0.36,225,1,2,No_perovskita,1.9
1522539,Zr0.04Ni3.96,225,1,2,No_perovskita,1.9
1522544,Hf0.04Ni3.96,225,1,2,No_perovskita,1.9
1522550,Ti2.8Nb1.2,63,1,2,No_perovskita,1.9
1522565,Fe1.9Sb0.1,229,1,2,No_perovskita,1.9
1522567,Mo0.5Ru1Pd0.5,194,1,3,No_perovskita,1.9
1522569,Mn0.55Zn1.45,139,1,2,No_perovskita,1.9
1522584,Zr1.26Pd0.74,229,1,2,No_perovskita,1.9
1522590,TcMo,229,1,2,No_perovskita,1.9
1522591,Tc1.06Pd0.94,194,1,2,No_perovskita,1.9
1522592,Tc3Pd,225,1,2,No_perovskita,1.9
1522593,Tc1.508Pt0.492,194,1,2,No_perovskita,1.9
1522594,Tc2.476Pt1.524,225,1,2,No_perovskita,1.9
1522595,TcRh,194,1,2,No_perovskita,1.9
1522596,Tc0.18Rh3.82,225,1,2,No_perovskita,1.9
1522598,Dy0.2Ag3.8,225,1,2,No_perovskita,1.9
1522599,Zr0.62Pd3.38,225,1,2,No_perovskita,1.9
1522606,Zn0.76Pd3.24,225,1,2,No_perovskita,1.9
1522620,Si0.32Ni3.68,225,1,2,No_perovskita,1.9
1522621,Ni3.68Sn0.32,225,1,2,No_perovskita,1.9
1522622,Mo1.152Pt0.848,194,1,2,No_perovskita,1.9
1522623,Mo0.8Pd0.7Rh0.5,194,1,3,No_perovskita,1.9
1522624,Mo0.5Ru0.5Pd0.5Rh0.5,194,1,4,No_perovskita,1.9
1522625,Mo0.5Ru0.7Pd0.8,194,1,3,No_perovskita,1.9
1522626,Mo0.6Ru0.6Rh0.8,194,1,3,No_perovskita,1.9
1522627,Ru1.4Pd0.3Rh0.3,194,1,3,No_perovskita,1.9
1522628,Tl1.16Hg2.84,225,1,2,No_perovskita,1.9
1522634,Nb1.6Pd0.4,229,1,2,No_perovskita,1.9
1522645,Ga0.6Pt3.4,225,1,2,No_perovskita,1.9
1522665,U0.304Pt3.696,225,1,2,No_perovskita,1.9
1522673,RuRh,194,1,2,No_perovskita,1.9
1522674,Ru0.8Rh3.2,225,1,2,No_perovskita,1.9
1522682,Zn1.2Ni2.8,225,1,2,No_perovskita,1.9
1522683,V1.6Ni2.4,225,1,2,No_perovskita,1.9
1522694,La,225,1,1,No_perovskita,1.9
1522701,Zr0.25Mo1.75,229,1,2,No_perovskita,1.9
1522713,Pu1.6Th2.4,225,1,2,No_perovskita,1.9
1522714,Ti1.6Pd0.4,229,1,2,No_perovskita,1.9
1522715,Zr1.6Pd0.4,229,1,2,No_perovskita,1.9
1522716,Hf1.86Mo0.14,229,1,2,No_perovskita,1.9
1522717,Ga0.8Re1.2,194,1,2,No_perovskita,1.9
1522725,Ga0.284Sn3.716,141,1,2,No_perovskita,1.9
1522726,Mg1.792Ga0.208,194,1,2,No_perovskita,1.9
1522727,Fe1.84Sn0.16,229,1,2,No_perovskita,1.9
1522729,V0.5Ni3Mo0.5,225,1,3,No_perovskita,1.9
1522732,Ti0.25Nb0.25Ni1.5,194,1,3,No_perovskita,1.9
1522739,Nb1.34Pd0.66,229,1,2,No_perovskita,1.9
1522744,ZrMo,229,1,2,No_perovskita,1.9
1522746,HfMo,229,1,2,No_perovskita,1.9
1522748,OsRu,194,1,2,No_perovskita,1.9
1522749,PdRh,225,1,2,No_perovskita,1.9
1522750,PtRh,225,1,2,No_perovskita,1.9
1522751,IrPt,225,1,2,No_perovskita,1.9
1522752,IrRu,194,1,2,No_perovskita,1.9
1522754,MnPd3,225,1,2,No_perovskita,1.9
1522755,Mo1.04Rh0.96,194,1,2,No_perovskita,1.9
1522756,Mo0.216Rh3.784,225,1,2,No_perovskita,1.9
1522757,Mo0.62Ru1.38,194,1,2,No_perovskita,1.9
1522758,Mo0.93Ir1.07,194,1,2,No_perovskita,1.9
1522759,Mo3.264Ir0.736,225,1,2,No_perovskita,1.9
1522761,Mn1.52Pt2.48,225,1,2,No_perovskita,1.9
1522762,Mn1.2Rh2.8,225,1,2,No_perovskita,1.9
1522763,MnRu,194,1,2,No_perovskita,1.9
1522764,PdPt,225,1,2,No_perovskita,1.9
1522765,Mn1.6Ir2.4,225,1,2,No_perovskita,1.9
1522766,IrPd,225,1,2,No_perovskita,1.9
1522767,FeRu,194,1,2,No_perovskita,1.9
1522768,Fe1.9Ru0.1,229,1,2,No_perovskita,1.9
1522769,NiRu,194,1,2,No_perovskita,1.9
1522770,Nb1.1Ru0.9,139,1,2,No_perovskita,1.9
1522772,Ta1.5Ru0.5,229,1,2,No_perovskita,1.9
1522773,Ta0.398Ru1.602,194,1,2,No_perovskita,1.9
1522774,V1.6Os0.4,229,1,2,No_perovskita,1.9
1522775,Ti1.5Rh0.5,229,1,2,No_perovskita,1.9
1522776,Ti0.4Rh3.6,225,1,2,No_perovskita,1.9
1522777,NiIr,225,1,2,No_perovskita,1.9
1522783,Nb0.44Rh3.56,225,1,2,No_perovskita,1.9
1522785,Nb1.628Rh0.372,229,1,2,No_perovskita,1.9
1522787,UNb,229,1,2,No_perovskita,1.9
1522789,Hf,229,1,1,No_perovskita,1.9
1522799,Ta1.8Os0.2,229,1,2,No_perovskita,1.9
1522800,Os0.8Pt3.2,225,1,2,No_perovskita,1.9
1522801,Os1.8Pt0.2,194,1,2,No_perovskita,1.9
1522802,Ir3.2Os0.8,225,1,2,No_perovskita,1.9
1522803,Os1.3Ir0.7,194,1,2,No_perovskita,1.9
1522804,Re1.2Ir0.8,194,1,2,No_perovskita,1.9
1522806,VMo,229,1,2,No_perovskita,1.9
1522807,Re1.08Ru0.92,194,1,2,No_perovskita,1.9
1522808,Nb0.38Ni1.62,194,1,2,No_perovskita,1.9
1522809,Nb0.604Ni3.396,225,1,2,No_perovskita,1.9
1522810,Ta0.46Ni1.54,194,1,2,No_perovskita,1.9
1522825,HfSc,194,1,2,No_perovskita,1.9
1522828,V1.8Ga0.2,229,1,2,No_perovskita,1.9
1522829,Re1.82Mo0.18,194,1,2,No_perovskita,1.9
1522830,Nb0.02Re1.98,194,1,2,No_perovskita,1.9
1522831,Re1.8Ru0.2,194,1,2,No_perovskita,1.9
1522832,Ta0.02Re1.98,194,1,2,No_perovskita,1.9
1522833,V0.05Re1.95,194,1,2,No_perovskita,1.9
1522834,Re1.84W0.16,194,1,2,No_perovskita,1.9
1522835,Mo0.932Pd1.068,194,1,2,No_perovskita,1.9
1522850,Mn1.5Ga0.5,194,1,2,No_perovskita,1.9
1522887,Sm0.1Ru1.9,194,1,2,No_perovskita,1.9
1522888,La0.1Ru1.9,194,1,2,No_perovskita,1.9
1522908,La4.8Th1.2,152,1,2,No_perovskita,1.9
1522910,La0.04Rh3.96,225,1,2,No_perovskita,1.9
1522920,TbLu,194,1,2,No_perovskita,1.9
1522926,V0.68Re0.66Mo0.66,229,1,3,No_perovskita,1.9
1522935,TbHo,194,1,2,No_perovskita,1.9
1522936,GdY,194,1,2,No_perovskita,1.9
1522937,Zn0.6Fe1.4,229,1,2,No_perovskita,1.9
1522939,Yb0.6Pd3.4,225,1,2,No_perovskita,1.9
1522940,NdGd,194,1,2,No_perovskita,1.9
1522941,Mn0.6Sb2.4,166,1,2,No_perovskita,1.9
1522942,Tc1.16Ni0.84,194,1,2,No_perovskita,1.9
1522943,Tc0.68Ni3.32,225,1,2,No_perovskita,1.9
1522954,Fe1.6Ni2Pt0.4,225,1,3,No_perovskita,1.9
1522956,V1.7Ni0.3,229,1,2,No_perovskita,1.9
1522957,Re0.8Mo1.2,229,1,2,No_perovskita,1.9
1522958,Tc1.64Mo0.36,194,1,2,No_perovskita,1.9
1522959,Re0.7W1.3,229,1,2,No_perovskita,1.9
1522967,Fe0.616Ni2.184Rh1.2,225,1,3,No_perovskita,1.9
1522975,Ti1.6Fe0.4,229,1,2,No_perovskita,1.9
1522976,Ti0.4Fe1.6,229,1,2,No_perovskita,1.9
1522978,MnV,229,1,2,No_perovskita,1.9
1522979,Nd0.4Gd1.6,194,1,2,No_perovskita,1.9
1522984,Fe1.794Ni0.206,194,1,2,No_perovskita,1.9
1522989,Yb,194,1,1,No_perovskita,1.9
1522991,Os0.2W1.8,229,1,2,No_perovskita,1.9
1522992,Hf1.2Mo0.8,229,1,2,No_perovskita,1.9
1522993,Mo0.82Os1.18,194,1,2,No_perovskita,1.9
1522995,Ti0.36Ni3.64,225,1,2,No_perovskita,1.9
1522999,Mn1.08Zn2.92,225,1,2,No_perovskita,1.9
1523000,Mn0.54Zn1.46,194,1,2,No_perovskita,1.9
1523004,Th0.6Pd3.4,225,1,2,No_perovskita,1.9
1523010,IrRh,225,1,2,No_perovskita,1.9
1523011,Hf0.46Si0.2Mo1.34,229,1,3,No_perovskita,1.9
1523013,Re1.2Pt0.8,194,1,2,No_perovskita,1.9
1523014,Re1.6Pt2.4,225,1,2,No_perovskita,1.9
1523018,Ta1.2Ru0.8,229,1,2,No_perovskita,1.9
1523023,U3.64Sb0.36,225,1,2,No_perovskita,1.9
1523025,HfTi,194,1,2,No_perovskita,1.9
1523026,ReOs,194,1,2,No_perovskita,1.9
1523027,Re0.48Pd3.52,225,1,2,No_perovskita,1.9
1523028,Re0.4Rh3.6,225,1,2,No_perovskita,1.9
1523029,Re1.08Ir2.92,225,1,2,No_perovskita,1.9
1523030,IrW,194,1,2,No_perovskita,1.9
1523031,Ir3.2W0.8,225,1,2,No_perovskita,1.9
1523035,Mg1.992Zr0.008,194,1,2,No_perovskita,1.9
1523036,TaRe,229,1,2,No_perovskita,1.9
1523048,Th,139,1,1,No_perovskita,1.9
1523058,Gd0.2Zr1.8,194,1,2,No_perovskita,1.9
1523059,HoZr,194,1,2,No_perovskita,1.9
